Preferred Sample Id,class_id
RC-29-VA80,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
DD-27-JL88,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
VE-07-ES28,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
JA-43-UE21,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
HF-98-RV84,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
BC-98-QW77,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
NA-21-NW89,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
TF-44-CX28,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
DB-31-IH29,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
HF-41-BX32,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
HB-41-ID29,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
PF-45-CL82,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
FD-37-YE86,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
RD-83-PQ09,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
HF-95-MT77,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
XC-82-VB85,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
XF-35-CD82,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
DC-44-UT30,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
HE-38-TB26,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
TC-82-VF85,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
FF-43-RI26,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
ZA-02-UO21,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
TE-46-NL84,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
ZA-00-LQ71,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
BF-45-CA82,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
RE-17-EW28,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
BF-72-IS03,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
RD-26-YS86,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
LA-95-DF28,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
FC-06-SU72,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
JD-28-JE88,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
PC-43-RN02,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
BE-07-TI26,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
NF-89-RO84,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
XA-42-FV23,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
PC-85-MB03,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
PD-84-PR09,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
VC-44-RG02,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
RF-37-IM24,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
RA-88-FQ01,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
VD-47-JS88,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
PC-38-VD80,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
FB-94-HC24,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
DF-98-RZ84,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
JB-85-DC81,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
DD-42-GV00,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
DD-26-YH86,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
XB-40-RD85,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
VF-99-RG84,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
DE-91-NH89,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
JB-08-OY76,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
XB-02-IL29,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
XE-36-NH84,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
RA-57-MW38,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
DF-45-CX82,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
VC-28-VW80,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
VF-42-BI32,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
ZC-28-VS80,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
BC-43-RC02,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
HE-91-ND89,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
LB-29-CV86,3a8c7c6f-33c9-406b-a144-9f58bf4ab7d4
CC-29-KA22,c3993942-3119-4420-acd6-3d105fe61642
BC-96-DY97,c3993942-3119-4420-acd6-3d105fe61642
WA-91-GY88,c3993942-3119-4420-acd6-3d105fe61642
RE-53-TG45,c3993942-3119-4420-acd6-3d105fe61642
JB-67-ZV97,c3993942-3119-4420-acd6-3d105fe61642
VA-51-YO44,b7679b7d-4032-4a2a-930a-27cae4b151ab
DD-23-FF94,b7679b7d-4032-4a2a-930a-27cae4b151ab
UA-82-DP64,b7679b7d-4032-4a2a-930a-27cae4b151ab
TF-00-MY66,b7679b7d-4032-4a2a-930a-27cae4b151ab
XB-37-WV30,b7679b7d-4032-4a2a-930a-27cae4b151ab
XC-50-CD40,b7679b7d-4032-4a2a-930a-27cae4b151ab
JC-78-KE48,b7679b7d-4032-4a2a-930a-27cae4b151ab
VB-15-KA75,b7679b7d-4032-4a2a-930a-27cae4b151ab
XF-00-MU66,b7679b7d-4032-4a2a-930a-27cae4b151ab
WC-58-OC42,b7679b7d-4032-4a2a-930a-27cae4b151ab
TB-98-OJ99,338e4808-53cc-42dd-ade1-9c4f699f47fa
XF-47-EL31,0e1fcb3f-6c15-4d92-a4a0-b3b29a9125bf
PA-44-BH30,0e1fcb3f-6c15-4d92-a4a0-b3b29a9125bf
FD-22-CE89,0e1fcb3f-6c15-4d92-a4a0-b3b29a9125bf
XB-08-OF59,0e1fcb3f-6c15-4d92-a4a0-b3b29a9125bf
RB-60-GY31,0e1fcb3f-6c15-4d92-a4a0-b3b29a9125bf
FE-59-AM35,0e1fcb3f-6c15-4d92-a4a0-b3b29a9125bf
HA-72-CR35,0e1fcb3f-6c15-4d92-a4a0-b3b29a9125bf
RA-09-LU53,0e1fcb3f-6c15-4d92-a4a0-b3b29a9125bf
BA-43-BW30,0e1fcb3f-6c15-4d92-a4a0-b3b29a9125bf
BF-47-EI31,0e1fcb3f-6c15-4d92-a4a0-b3b29a9125bf
VA-09-LQ53,0e1fcb3f-6c15-4d92-a4a0-b3b29a9125bf
VB-60-GU31,0e1fcb3f-6c15-4d92-a4a0-b3b29a9125bf
CE-12-FS03,0e1fcb3f-6c15-4d92-a4a0-b3b29a9125bf
ZA-09-LM53,0e1fcb3f-6c15-4d92-a4a0-b3b29a9125bf
BE-59-AQ35,0e1fcb3f-6c15-4d92-a4a0-b3b29a9125bf
FD-40-LQ38,0e1fcb3f-6c15-4d92-a4a0-b3b29a9125bf
DA-72-CV35,0e1fcb3f-6c15-4d92-a4a0-b3b29a9125bf
BB-08-OC59,0e1fcb3f-6c15-4d92-a4a0-b3b29a9125bf
HA-13-WB09,fb9376f7-26c5-4c29-95af-9220357ee75c
JB-37-SU99,fb9376f7-26c5-4c29-95af-9220357ee75c
DA-95-VD04,fb9376f7-26c5-4c29-95af-9220357ee75c
FE-58-EI28,fb9376f7-26c5-4c29-95af-9220357ee75c
RC-54-YA13,fb9376f7-26c5-4c29-95af-9220357ee75c
AD-88-BT45,fb9376f7-26c5-4c29-95af-9220357ee75c
XC-67-HB97,fb9376f7-26c5-4c29-95af-9220357ee75c
ZC-83-NS08,fb9376f7-26c5-4c29-95af-9220357ee75c
ZD-60-EQ01,fb9376f7-26c5-4c29-95af-9220357ee75c
TE-52-BP19,fb9376f7-26c5-4c29-95af-9220357ee75c
PE-78-WN04,fb9376f7-26c5-4c29-95af-9220357ee75c
XE-04-ZJ04,fb9376f7-26c5-4c29-95af-9220357ee75c
PA-68-PX93,fb9376f7-26c5-4c29-95af-9220357ee75c
JD-57-RK15,fb9376f7-26c5-4c29-95af-9220357ee75c
BE-18-WC04,fb9376f7-26c5-4c29-95af-9220357ee75c
NE-68-HU06,fb9376f7-26c5-4c29-95af-9220357ee75c
PE-51-QP17,fb9376f7-26c5-4c29-95af-9220357ee75c
XB-78-SF99,fb9376f7-26c5-4c29-95af-9220357ee75c
LB-67-EX91,fb9376f7-26c5-4c29-95af-9220357ee75c
ZA-61-GU18,fb9376f7-26c5-4c29-95af-9220357ee75c
HC-61-PN03,fb9376f7-26c5-4c29-95af-9220357ee75c
HD-57-CR17,fb9376f7-26c5-4c29-95af-9220357ee75c
ZB-59-KM13,fb9376f7-26c5-4c29-95af-9220357ee75c
NE-90-GS02,fb9376f7-26c5-4c29-95af-9220357ee75c
HE-19-HZ06,fb9376f7-26c5-4c29-95af-9220357ee75c
NF-80-JI08,fb9376f7-26c5-4c29-95af-9220357ee75c
ZE-19-WC04,fb9376f7-26c5-4c29-95af-9220357ee75c
NC-57-NQ19,fb9376f7-26c5-4c29-95af-9220357ee75c
JD-53-NE11,fb9376f7-26c5-4c29-95af-9220357ee75c
XE-51-QH17,fb9376f7-26c5-4c29-95af-9220357ee75c
VC-46-WY95,fb9376f7-26c5-4c29-95af-9220357ee75c
LB-51-XT27,fb9376f7-26c5-4c29-95af-9220357ee75c
JB-45-FW19,fb9376f7-26c5-4c29-95af-9220357ee75c
HB-46-NN90,fb9376f7-26c5-4c29-95af-9220357ee75c
XB-68-SF99,fb9376f7-26c5-4c29-95af-9220357ee75c
ZD-58-QS20,fb9376f7-26c5-4c29-95af-9220357ee75c
RA-60-VY16,fb9376f7-26c5-4c29-95af-9220357ee75c
JE-58-EE28,fb9376f7-26c5-4c29-95af-9220357ee75c
DA-69-PJ93,fb9376f7-26c5-4c29-95af-9220357ee75c
NC-66-HM97,fb9376f7-26c5-4c29-95af-9220357ee75c
TA-58-PT93,fb9376f7-26c5-4c29-95af-9220357ee75c
ZB-65-FG19,fb9376f7-26c5-4c29-95af-9220357ee75c
ZD-69-SM08,fb9376f7-26c5-4c29-95af-9220357ee75c
ZA-67-CO13,fb9376f7-26c5-4c29-95af-9220357ee75c
RA-69-PU93,fb9376f7-26c5-4c29-95af-9220357ee75c
ZB-48-EI91,fb9376f7-26c5-4c29-95af-9220357ee75c
XD-53-NP11,fb9376f7-26c5-4c29-95af-9220357ee75c
FC-71-AU05,fb9376f7-26c5-4c29-95af-9220357ee75c
JD-72-RA04,fb9376f7-26c5-4c29-95af-9220357ee75c
FE-45-AG91,fb9376f7-26c5-4c29-95af-9220357ee75c
